Age	Type	City	Price Range	Capacity	Area	Number of Menu Items	Profit
Developed	Banquet	San Francisco	$$	90-100	Suburbs	10-15	107565
Developed	Full Service Restaurant	San Diego	$$	90-100	Downtown	Salad & Sandwich only	70305
Recent	Cafeteria	San Francisco	$	<10	Downtown	10-15	34907
Recent	Cafeteria	San Diego	$$$	30-50	Suburbs	7-10	62414
Developed	Full Service Restaurant	Los Angeles	$	100+	Suburbs	15+	113227
Recent	Cafeteria	San Diego	$	70-90	Downtown	10-15	87416
Recent	Cafeteria	San Francisco	$	50-70	Suburbs	5-7	56842
Well-Known	Banquet	Sacramento	$	90-100	Suburbs	5-7	67213
Well-Known	Banquet	San Francisco	$	50-70	Suburbs	7-10	66011
Recent	Banquet	Los Angeles	$$$$$	15-20	Suburbs	Salad bar only	51382
Well-Known	Full Service Restaurant	San Diego	$$$$$	10-15	Suburbs	Salad bar only	113702
Recent	Full Service Restaurant	San Francisco	$	10-15	Downtown	Salad & Sandwich only	65904
Developed	Full Service Restaurant	San Diego	$$$	15-20	Suburbs	7-10	124729
Well-Known	Banquet	Sacramento	$$$	<10	Downtown	Salad bar only	65416
Developed	Banquet	Los Angeles	$	30-50	Suburbs	10-15	111877
Developed	Cafeteria	Sacramento	$$$$$	50-70	Suburbs	< 5	63053
Recent	Banquet	Sacramento	$$$	50-70	Suburbs	7-10	89299
Recent	Cafeteria	Los Angeles	$$$$$	<10	Downtown	Salad bar only	68758
Recent	Banquet	San Francisco	$$	100+	Suburbs	15+	96784
Recent	Banquet	San Francisco	$$	70-90	Suburbs	5-7	83758
Well-Known	Banquet	San Francisco	$$$	No seat	Suburbs	Salad & Sandwich only	68347
Well-Known	Full Service Restaurant	San Francisco	$$$$	30-50	Suburbs	Salad & Sandwich only	120258
Developed	Full Service Restaurant	Sacramento	$$	15-20	Suburbs	10-15	101050
Recent	Cafeteria	Los Angeles	$$$$$	70-90	Suburbs	10-15	98870
Recent	Banquet	San Francisco	$$$	15-20	Suburbs	7-10	86378
Recent	Cafeteria	Los Angeles	$	100+	Downtown	15+	80371
Developed	Full Service Restaurant	San Francisco	$$	20-30	Downtown	15+	99439
Developed	Banquet	Sacramento	$$$	<10	Downtown	< 5	85463
Recent	Cafeteria	San Francisco	$$$$$	70-90	Downtown	< 5	83185
Well-Known	Banquet	Sacramento	$$$	15-20	Suburbs	< 5	88060
Recent	Cafeteria	Sacramento	$$$$$	30-50	Suburbs	< 5	55336
Recent	Cafeteria	San Francisco	$	30-50	Downtown	7-10	53845
Developed	Cafeteria	San Francisco	$$$$	No seat	Suburbs	15+	53861
Well-Known	Banquet	San Francisco	$	15-20	Downtown	< 5	64504
Developed	Cafeteria	Sacramento	$$$$$	100+	Suburbs	Salad & Sandwich only	40561
Recent	Full Service Restaurant	San Diego	$$$$$	<10	Downtown	10-15	95651
Developed	Full Service Restaurant	Sacramento	$$$	100+	Downtown	Salad bar only	101222
Recent	Banquet	San Francisco	$	90-100	Downtown	< 5	51179
Well-Known	Banquet	Sacramento	$$$$	10-15	Suburbs	Salad bar only	100814
Developed	Full Service Restaurant	San Francisco	$$$$	50-70	Suburbs	15+	135864
Recent	Full Service Restaurant	San Diego	$$$	10-15	Suburbs	Salad bar only	63466
Well-Known	Banquet	Sacramento	$$$$$	<10	Suburbs	15+	97363
Recent	Full Service Restaurant	Sacramento	$	<10	Downtown	15+	64823
Recent	Banquet	San Diego	$$$$	10-15	Suburbs	5-7	69908
Well-Known	Full Service Restaurant	San Francisco	$	No seat	Downtown	15+	71799
Developed	Banquet	San Diego	$	<10	Downtown	Salad & Sandwich only	62744
Developed	Banquet	Sacramento	$$$$$	90-100	Suburbs	Salad & Sandwich only	70158
Recent	Full Service Restaurant	San Francisco	$$$	15-20	Downtown	15+	120295
Well-Known	Cafeteria	San Francisco	$$$$$	90-100	Downtown	Salad bar only	103150
Well-Known	Banquet	Los Angeles	$$	70-90	Downtown	7-10	73920
Developed	Cafeteria	San Diego	$$	100+	Downtown	5-7	53553
Well-Known	Banquet	San Diego	$$	100+	Downtown	10-15	88328
Developed	Banquet	San Francisco	$$$	70-90	Downtown	Salad & Sandwich only	80887
Developed	Full Service Restaurant	San Diego	$$$	10-15	Downtown	5-7	125149
Developed	Full Service Restaurant	San Francisco	$$	50-70	Downtown	Salad & Sandwich only	70129
Developed	Banquet	San Francisco	$	10-15	Downtown	Salad & Sandwich only	44050
Well-Known	Banquet	San Francisco	$$$$	50-70	Suburbs	Salad & Sandwich only	92262
Recent	Cafeteria	Sacramento	$$$$	10-15	Suburbs	7-10	55988
Developed	Full Service Restaurant	San Diego	$$$$$	30-50	Downtown	10-15	157136
Well-Known	Full Service Restaurant	Sacramento	$$$$$	No seat	Downtown	Salad bar only	138049
Recent	Banquet	Sacramento	$	90-100	Downtown	Salad bar only	49288
Well-Known	Banquet	San Francisco	$$$$$	30-50	Suburbs	15+	155446
Well-Known	Full Service Restaurant	San Francisco	$$	No seat	Suburbs	5-7	73418
Recent	Cafeteria	San Francisco	$	10-15	Downtown	7-10	53727
Developed	Cafeteria	San Francisco	$$	10-15	Downtown	Salad bar only	36214
Recent	Banquet	San Diego	$$$	No seat	Suburbs	Salad & Sandwich only	53414
Developed	Banquet	Los Angeles	$	10-15	Suburbs	7-10	70830
Well-Known	Cafeteria	San Francisco	$$$	70-90	Downtown	5-7	70678
Recent	Cafeteria	Sacramento	$$$$	50-70	Suburbs	Salad & Sandwich only	37624
Well-Known	Cafeteria	Sacramento	$$$$$	50-70	Suburbs	15+	151753
Developed	Full Service Restaurant	Sacramento	$$	10-15	Downtown	15+	98550
Recent	Banquet	San Francisco	$$$$	50-70	Suburbs	5-7	71655
Well-Known	Cafeteria	Los Angeles	$$$	No seat	Downtown	Salad & Sandwich only	65651
Developed	Banquet	San Diego	$$$$	70-90	Downtown	5-7	119415
Well-Known	Full Service Restaurant	Los Angeles	$	15-20	Suburbs	10-15	81118
Recent	Full Service Restaurant	San Diego	$$	90-100	Suburbs	5-7	85709
Recent	Full Service Restaurant	San Diego	$	100+	Suburbs	< 5	82889
Developed	Cafeteria	San Diego	$$$$$	100+	Suburbs	15+	92531
Well-Known	Cafeteria	Sacramento	$$$$	70-90	Suburbs	10-15	124598
Recent	Full Service Restaurant	San Diego	$$$	15-20	Suburbs	5-7	110505
Recent	Cafeteria	Sacramento	$$$	100+	Suburbs	15+	84836
Recent	Cafeteria	Los Angeles	$$$$$	<10	Downtown	Salad bar only	68861
Developed	Cafeteria	San Diego	$$$	20-30	Suburbs	15+	84019
Developed	Cafeteria	Los Angeles	$$	20-30	Suburbs	15+	87931
Developed	Cafeteria	Los Angeles	$$$	90-100	Downtown	5-7	74752
Well-Known	Banquet	Los Angeles	$	70-90	Suburbs	Salad & Sandwich only	43962
Recent	Full Service Restaurant	San Francisco	$$$	50-70	Suburbs	7-10	94508
Recent	Banquet	Los Angeles	$$$$$	70-90	Suburbs	7-10	72964
Recent	Banquet	San Francisco	$$$	<10	Downtown	15+	81914
Well-Known	Cafeteria	Los Angeles	$	30-50	Downtown	< 5	43221
Recent	Banquet	Los Angeles	$$	70-90	Downtown	5-7	79959
Well-Known	Full Service Restaurant	Los Angeles	$$$	<10	Suburbs	Salad bar only	95842
Recent	Full Service Restaurant	Sacramento	$$$$	<10	Downtown	10-15	88461
Developed	Cafeteria	San Diego	$$$	100+	Suburbs	15+	104551
Developed	Banquet	Los Angeles	$$$	30-50	Suburbs	5-7	84587
Developed	Banquet	Los Angeles	$	90-100	Downtown	Salad bar only	40996
Recent	Cafeteria	San Francisco	$$$$$	50-70	Suburbs	Salad & Sandwich only	43980
Well-Known	Banquet	San Francisco	$$$$$	15-20	Suburbs	15+	113186
Recent	Cafeteria	Los Angeles	$$$$$	20-30	Suburbs	5-7	80516
Recent	Cafeteria	San Francisco	$$	90-100	Suburbs	7-10	52074
Recent	Full Service Restaurant	San Francisco	$$$$$	90-100	Suburbs	7-10	80173
Well-Known	Cafeteria	San Diego	$$$	15-20	Downtown	5-7	89364
Developed	Banquet	Sacramento	$$	50-70	Suburbs	5-7	99598
Developed	Cafeteria	San Francisco	$$$$$	50-70	Suburbs	7-10	83534
Recent	Cafeteria	San Francisco	$	30-50	Suburbs	Salad bar only	41501
Developed	Full Service Restaurant	San Francisco	$	100+	Downtown	Salad bar only	71758
Recent	Full Service Restaurant	Los Angeles	$$$$	20-30	Downtown	Salad bar only	93847
Recent	Full Service Restaurant	Sacramento	$$$$	10-15	Suburbs	10-15	91602
Well-Known	Full Service Restaurant	San Francisco	$$	15-20	Downtown	< 5	101156
Recent	Banquet	San Diego	$$	15-20	Downtown	Salad bar only	63654
Well-Known	Cafeteria	Los Angeles	$$	20-30	Suburbs	Salad & Sandwich only	51506
Well-Known	Full Service Restaurant	San Francisco	$$$	70-90	Suburbs	5-7	112143
Well-Known	Banquet	Sacramento	$$	<10	Downtown	Salad bar only	69988
Well-Known	Full Service Restaurant	Los Angeles	$$$	No seat	Suburbs	10-15	91479
Developed	Cafeteria	Sacramento	$$$	<10	Suburbs	5-7	55698
Well-Known	Cafeteria	San Diego	$$$$	90-100	Downtown	7-10	99087
Recent	Banquet	Los Angeles	$	No seat	Suburbs	Salad & Sandwich only	69084
Well-Known	Cafeteria	Los Angeles	$	70-90	Suburbs	7-10	67668
Developed	Cafeteria	San Francisco	$$$$	15-20	Suburbs	Salad bar only	47805
Recent	Full Service Restaurant	Sacramento	$	<10	Suburbs	Salad bar only	88348
Well-Known	Full Service Restaurant	Los Angeles	$$$	<10	Downtown	10-15	87648
Developed	Full Service Restaurant	San Diego	$$	<10	Downtown	10-15	82170
Developed	Cafeteria	Sacramento	$$$$$	70-90	Suburbs	Salad & Sandwich only	53734
Well-Known	Full Service Restaurant	San Diego	$$$	No seat	Downtown	5-7	78300
Developed	Cafeteria	San Diego	$$	50-70	Suburbs	< 5	70961
Developed	Cafeteria	San Francisco	$$$$$	30-50	Suburbs	Salad & Sandwich only	53049
Developed	Cafeteria	Los Angeles	$$$$$	<10	Suburbs	15+	60567
Developed	Full Service Restaurant	Los Angeles	$	50-70	Downtown	5-7	90669
Developed	Cafeteria	Sacramento	$$$$$	10-15	Downtown	Salad bar only	63935
Recent	Full Service Restaurant	San Francisco	$$$$$	15-20	Suburbs	7-10	100498
Recent	Banquet	San Diego	$$$$$	20-30	Suburbs	Salad & Sandwich only	63496
Developed	Full Service Restaurant	Los Angeles	$$$$$	30-50	Suburbs	5-7	102020
Well-Known	Banquet	San Francisco	$$	50-70	Suburbs	7-10	78261
Recent	Cafeteria	San Diego	$$$	100+	Downtown	5-7	72970
Well-Known	Banquet	Sacramento	$$$$$	30-50	Suburbs	10-15	158651
Well-Known	Banquet	San Diego	$$$$	No seat	Suburbs	10-15	86396
Well-Known	Banquet	Sacramento	$$$	<10	Suburbs	10-15	70344
Well-Known	Full Service Restaurant	Los Angeles	$$	100+	Downtown	7-10	92396
Developed	Banquet	San Francisco	$	15-20	Downtown	5-7	88332
Well-Known	Full Service Restaurant	Sacramento	$$	<10	Suburbs	10-15	73230
Recent	Cafeteria	Los Angeles	$$$$	100+	Downtown	Salad bar only	58264
Developed	Full Service Restaurant	Los Angeles	$	20-30	Suburbs	< 5	101239
Well-Known	Banquet	San Francisco	$$$	50-70	Suburbs	< 5	87021
Developed	Cafeteria	San Diego	$$$$$	10-15	Downtown	15+	83011
Well-Known	Full Service Restaurant	Sacramento	$$$$	20-30	Suburbs	5-7	139081
Developed	Full Service Restaurant	Sacramento	$$$$	70-90	Downtown	7-10	124660
Recent	Banquet	Los Angeles	$$$$	50-70	Downtown	7-10	109705
Well-Known	Cafeteria	Los Angeles	$$$$$	100+	Suburbs	< 5	97200
Recent	Cafeteria	Sacramento	$	30-50	Downtown	Salad bar only	36633
Developed	Full Service Restaurant	Sacramento	$$$$	20-30	Downtown	Salad & Sandwich only	111892
Well-Known	Cafeteria	San Francisco	$$$	10-15	Downtown	5-7	81817
Developed	Full Service Restaurant	San Francisco	$$$$$	90-100	Downtown	< 5	120971
Well-Known	Banquet	San Diego	$$$	50-70	Downtown	5-7	83974
Recent	Banquet	Los Angeles	$	90-100	Suburbs	Salad bar only	62971
Developed	Full Service Restaurant	Los Angeles	$	20-30	Downtown	15+	86266
Recent	Full Service Restaurant	San Diego	$$$$$	15-20	Suburbs	5-7	111944
Recent	Cafeteria	Los Angeles	$$$$	10-15	Suburbs	7-10	62689
Well-Known	Banquet	San Francisco	$$	90-100	Downtown	Salad bar only	63157
Recent	Banquet	Los Angeles	$$$$$	No seat	Suburbs	Salad bar only	49285
Developed	Banquet	Los Angeles	$$$$	15-20	Suburbs	7-10	98018
Well-Known	Full Service Restaurant	San Francisco	$$$$$	100+	Downtown	< 5	130770
Recent	Cafeteria	Los Angeles	$	<10	Downtown	< 5	39209
Well-Known	Banquet	San Diego	$$$$	30-50	Downtown	Salad & Sandwich only	97562
Recent	Cafeteria	Los Angeles	$$$	100+	Downtown	15+	102948
Recent	Cafeteria	Los Angeles	$$$$	15-20	Downtown	Salad bar only	62126
Developed	Full Service Restaurant	San Francisco	$$$$$	No seat	Suburbs	Salad & Sandwich only	89915
Recent	Full Service Restaurant	Sacramento	$$	10-15	Downtown	Salad bar only	75142
Developed	Cafeteria	San Diego	$$$	90-100	Suburbs	Salad & Sandwich only	43769
Developed	Full Service Restaurant	Sacramento	$	90-100	Suburbs	10-15	110774
Well-Known	Cafeteria	San Diego	$$$$	70-90	Downtown	Salad bar only	72304
Recent	Full Service Restaurant	Sacramento	$$	10-15	Suburbs	Salad bar only	73719
Developed	Full Service Restaurant	Sacramento	$	15-20	Suburbs	7-10	100245
Recent	Banquet	Los Angeles	$$	20-30	Suburbs	15+	84656
Recent	Full Service Restaurant	San Diego	$	15-20	Suburbs	10-15	87445
Recent	Cafeteria	San Diego	$$	30-50	Suburbs	7-10	73938
Recent	Full Service Restaurant	Sacramento	$	90-100	Downtown	15+	120069
Well-Known	Full Service Restaurant	San Francisco	$	20-30	Downtown	7-10	98009
Recent	Banquet	San Francisco	$$	20-30	Downtown	5-7	101020
Recent	Full Service Restaurant	San Francisco	$$	50-70	Downtown	Salad bar only	81207
Developed	Banquet	San Francisco	$$	<10	Suburbs	Salad & Sandwich only	88092
Well-Known	Banquet	San Diego	$	<10	Suburbs	Salad & Sandwich only	69667
Recent	Full Service Restaurant	San Diego	$$$$	100+	Suburbs	15+	116891
Well-Known	Banquet	Los Angeles	$$	70-90	Suburbs	Salad & Sandwich only	59232
Well-Known	Banquet	San Diego	$$$$$	10-15	Suburbs	7-10	114472
Developed	Full Service Restaurant	San Francisco	$$	100+	Downtown	5-7	93203
Recent	Cafeteria	San Diego	$$$$	100+	Suburbs	Salad & Sandwich only	30032
Well-Known	Banquet	San Diego	$	10-15	Downtown	15+	71053
Developed	Cafeteria	Los Angeles	$$$$$	20-30	Downtown	7-10	115974
Well-Known	Cafeteria	Los Angeles	$	70-90	Downtown	< 5	45599
Developed	Banquet	San Francisco	$$$$	30-50	Suburbs	10-15	112199
Well-Known	Cafeteria	San Diego	$$	70-90	Downtown	15+	103353
Developed	Banquet	Los Angeles	$$$	90-100	Downtown	10-15	113586
Recent	Cafeteria	San Diego	$$$$	90-100	Downtown	7-10	84605
Recent	Cafeteria	San Diego	$$$$	90-100	Suburbs	10-15	76329
Well-Known	Banquet	San Diego	$	15-20	Downtown	15+	74647
Recent	Cafeteria	Sacramento	$$$	50-70	Downtown	7-10	90638
Recent	Cafeteria	Sacramento	$$$$	30-50	Downtown	< 5	76361
Recent	Banquet	Los Angeles	$$$$$	50-70	Suburbs	Salad bar only	48050
Recent	Full Service Restaurant	San Diego	$$$$	<10	Downtown	< 5	101013
Recent	Banquet	Los Angeles	$$$	No seat	Suburbs	Salad & Sandwich only	55699
Recent	Full Service Restaurant	San Diego	$$$$$	100+	Suburbs	Salad & Sandwich only	68186
Well-Known	Banquet	San Diego	$$$$$	<10	Downtown	5-7	124427
Recent	Full Service Restaurant	San Diego	$$$$	100+	Downtown	Salad & Sandwich only	89724
Well-Known	Banquet	Sacramento	$	50-70	Suburbs	5-7	65221
Recent	Banquet	Sacramento	$	90-100	Downtown	Salad & Sandwich only	56239
Well-Known	Full Service Restaurant	San Diego	$$$	90-100	Downtown	10-15	132498
Developed	Full Service Restaurant	Sacramento	$$$	15-20	Downtown	7-10	135411
Well-Known	Full Service Restaurant	Sacramento	$$	10-15	Downtown	7-10	97594
Recent	Full Service Restaurant	San Diego	$$$$$	15-20	Downtown	10-15	112861
Well-Known	Cafeteria	Los Angeles	$$	10-15	Downtown	Salad & Sandwich only	52769
Recent	Banquet	San Francisco	$	10-15	Suburbs	15+	78514
Developed	Banquet	San Diego	$$$$	90-100	Suburbs	15+	110626
Recent	Full Service Restaurant	San Diego	$$$$	10-15	Downtown	10-15	111051
Developed	Full Service Restaurant	San Francisco	$$$$$	30-50	Suburbs	5-7	101312
Developed	Banquet	San Diego	$$$$	<10	Suburbs	7-10	69371
Developed	Cafeteria	San Diego	$$$$$	15-20	Downtown	15+	96859
Well-Known	Full Service Restaurant	Los Angeles	$$$$$	10-15	Downtown	15+	141874
Developed	Banquet	San Francisco	$$$$	50-70	Downtown	< 5	114491
Developed	Cafeteria	Sacramento	$$$$$	<10	Downtown	Salad & Sandwich only	95574
Well-Known	Full Service Restaurant	San Francisco	$$$$	50-70	Suburbs	Salad bar only	117765
Developed	Full Service Restaurant	Los Angeles	$$$$	90-100	Downtown	5-7	113614
Recent	Full Service Restaurant	Sacramento	$$$$	70-90	Suburbs	5-7	83312
Recent	Cafeteria	Sacramento	$	50-70	Suburbs	10-15	102455
Developed	Banquet	Sacramento	$$	15-20	Suburbs	10-15	88796
Developed	Full Service Restaurant	Sacramento	$$$$$	No seat	Suburbs	< 5	89132
Well-Known	Full Service Restaurant	Sacramento	$$$$$	30-50	Downtown	7-10	154802
Well-Known	Full Service Restaurant	Los Angeles	$	70-90	Suburbs	Salad bar only	66753
Recent	Banquet	San Diego	$$$$$	15-20	Suburbs	15+	71904
Developed	Cafeteria	Sacramento	$$	100+	Suburbs	Salad bar only	41914
Recent	Full Service Restaurant	Sacramento	$$$	<10	Suburbs	5-7	70372
Recent	Cafeteria	San Francisco	$$	90-100	Downtown	Salad bar only	54068
Recent	Full Service Restaurant	Sacramento	$$$$$	20-30	Downtown	15+	114153
Recent	Cafeteria	San Francisco	$$$$	100+	Suburbs	7-10	66857
Recent	Full Service Restaurant	Los Angeles	$$$$	10-15	Downtown	Salad bar only	85377
Recent	Cafeteria	Sacramento	$$$$$	No seat	Downtown	7-10	54872
Recent	Full Service Restaurant	San Diego	$$$$$	10-15	Downtown	Salad bar only	90134
Recent	Cafeteria	San Diego	$	30-50	Downtown	< 5	40523
Well-Known	Banquet	Los Angeles	$$	No seat	Downtown	Salad & Sandwich only	55187
Well-Known	Full Service Restaurant	Los Angeles	$	30-50	Downtown	10-15	114327
Well-Known	Banquet	Los Angeles	$$$$$	No seat	Downtown	Salad & Sandwich only	126075
Recent	Banquet	Los Angeles	$	15-20	Suburbs	7-10	91006
Developed	Banquet	Los Angeles	$	10-15	Downtown	15+	64328
Recent	Full Service Restaurant	San Diego	$$	50-70	Suburbs	Salad bar only	79196
Developed	Banquet	San Francisco	$	30-50	Suburbs	< 5	60176
Developed	Full Service Restaurant	San Diego	$$$$	20-30	Suburbs	10-15	114132
Recent	Banquet	Los Angeles	$$$	<10	Downtown	10-15	76379
Well-Known	Banquet	San Francisco	$$$$$	90-100	Downtown	7-10	139428
Recent	Cafeteria	San Diego	$$$	50-70	Suburbs	7-10	59226
Recent	Cafeteria	Sacramento	$$$$	20-30	Suburbs	7-10	84177
Recent	Full Service Restaurant	Los Angeles	$$$$	<10	Downtown	< 5	102895
Recent	Cafeteria	Los Angeles	$	<10	Downtown	Salad & Sandwich only	47582
Developed	Banquet	San Diego	$$$	20-30	Suburbs	7-10	101137
Developed	Cafeteria	San Francisco	$$$	90-100	Downtown	7-10	80245
Developed	Cafeteria	San Francisco	$$	100+	Suburbs	Salad bar only	51611
Developed	Cafeteria	Los Angeles	$$$	15-20	Suburbs	10-15	66252
Developed	Banquet	Los Angeles	$$$	70-90	Downtown	Salad & Sandwich only	86396
Recent	Cafeteria	Los Angeles	$$	90-100	Suburbs	10-15	86196
Well-Known	Full Service Restaurant	San Francisco	$$$$$	15-20	Downtown	5-7	161708
Well-Known	Full Service Restaurant	Sacramento	$	<10	Downtown	7-10	65288
Well-Known	Cafeteria	Los Angeles	$$$$$	100+	Suburbs	7-10	111084
Developed	Banquet	San Francisco	$$	90-100	Downtown	< 5	67447
Developed	Cafeteria	San Francisco	$	50-70	Suburbs	15+	89202
Well-Known	Banquet	Los Angeles	$$$$	10-15	Downtown	10-15	104400
Well-Known	Cafeteria	San Diego	$$$$	No seat	Downtown	7-10	64679
Recent	Banquet	Los Angeles	$	<10	Suburbs	10-15	62619
Developed	Full Service Restaurant	Sacramento	$	15-20	Suburbs	Salad bar only	71148
Developed	Banquet	Los Angeles	$$$	No seat	Downtown	Salad bar only	82082
Developed	Banquet	Los Angeles	$$$	10-15	Downtown	Salad bar only	71183
Well-Known	Cafeteria	San Francisco	$	No seat	Suburbs	< 5	28545
Well-Known	Full Service Restaurant	San Francisco	$$$$	No seat	Suburbs	5-7	119677
Developed	Banquet	Sacramento	$$	100+	Suburbs	< 5	69859
Well-Known	Cafeteria	San Diego	$$$	No seat	Suburbs	5-7	60870
Well-Known	Full Service Restaurant	San Francisco	$$$$	90-100	Suburbs	5-7	129768
Recent	Banquet	Sacramento	$$$$$	15-20	Suburbs	< 5	77279
Developed	Full Service Restaurant	San Francisco	$$	No seat	Suburbs	< 5	82346
Recent	Cafeteria	San Francisco	$$	15-20	Downtown	7-10	85356
Developed	Banquet	Los Angeles	$$$$$	10-15	Downtown	15+	106710
Recent	Cafeteria	Los Angeles	$	20-30	Downtown	Salad & Sandwich only	48515
Recent	Full Service Restaurant	San Francisco	$$$$	30-50	Suburbs	Salad & Sandwich only	69775
Recent	Full Service Restaurant	Sacramento	$	<10	Suburbs	Salad & Sandwich only	95745
Well-Known	Full Service Restaurant	San Francisco	$$$$	90-100	Downtown	5-7	111687
Well-Known	Cafeteria	Los Angeles	$	30-50	Suburbs	15+	86035
Developed	Cafeteria	Los Angeles	$	<10	Suburbs	Salad bar only	38674
Well-Known	Banquet	San Francisco	$$$$	10-15	Downtown	15+	106932
Recent	Full Service Restaurant	Sacramento	$$$	15-20	Downtown	15+	123941
Recent	Cafeteria	San Francisco	$$$$$	20-30	Downtown	10-15	93884
Well-Known	Banquet	San Diego	$$	10-15	Suburbs	15+	73063
Recent	Banquet	Los Angeles	$$	20-30	Suburbs	Salad bar only	64136
Recent	Banquet	Los Angeles	$$$	10-15	Suburbs	15+	71342
Developed	Cafeteria	San Francisco	$$	70-90	Suburbs	Salad bar only	56309
Recent	Cafeteria	San Diego	$$$	15-20	Downtown	15+	85713
Recent	Full Service Restaurant	San Diego	$$	<10	Downtown	Salad & Sandwich only	93291
Well-Known	Full Service Restaurant	Los Angeles	$$$$	100+	Suburbs	< 5	118533
Developed	Banquet	San Diego	$$$$$	10-15	Downtown	15+	97571
Developed	Cafeteria	Los Angeles	$$$	<10	Suburbs	Salad bar only	58881
Well-Known	Full Service Restaurant	San Francisco	$	70-90	Suburbs	15+	130402
Developed	Cafeteria	Los Angeles	$$$	100+	Suburbs	7-10	77586
Recent	Cafeteria	San Francisco	$$$	20-30	Downtown	Salad bar only	54923
Recent	Cafeteria	Los Angeles	$$$$	70-90	Suburbs	15+	91764
Recent	Cafeteria	San Francisco	$	<10	Downtown	< 5	34823
Recent	Banquet	Los Angeles	$$$$$	<10	Downtown	7-10	78949
Developed	Banquet	San Francisco	$$	20-30	Suburbs	< 5	86482
Well-Known	Banquet	Sacramento	$$$$	30-50	Downtown	15+	149772
Developed	Full Service Restaurant	Sacramento	$	20-30	Suburbs	7-10	102515
Well-Known	Banquet	Sacramento	$$$	20-30	Suburbs	15+	94030
Developed	Full Service Restaurant	Sacramento	$$$	100+	Suburbs	10-15	114097
Recent	Banquet	San Diego	$	30-50	Downtown	15+	93983
Developed	Cafeteria	Sacramento	$$$	30-50	Downtown	Salad bar only	62141
Recent	Banquet	Los Angeles	$$$$	30-50	Suburbs	< 5	65272
Developed	Full Service Restaurant	Los Angeles	$$$$$	No seat	Suburbs	7-10	81320
Recent	Full Service Restaurant	San Diego	$$	No seat	Suburbs	Salad & Sandwich only	76777
Well-Known	Cafeteria	Sacramento	$$$$$	30-50	Suburbs	5-7	111350
Recent	Banquet	San Diego	$	100+	Suburbs	< 5	61691
Developed	Banquet	Los Angeles	$$$$$	70-90	Suburbs	5-7	84108
Developed	Cafeteria	San Diego	$$	90-100	Suburbs	5-7	75663
Well-Known	Cafeteria	San Diego	$$	100+	Suburbs	7-10	56817
Developed	Cafeteria	San Francisco	$$$$	10-15	Suburbs	Salad bar only	56669
Recent	Full Service Restaurant	San Diego	$$	15-20	Suburbs	5-7	102739
Well-Known	Cafeteria	San Diego	$$$$$	20-30	Suburbs	5-7	117435
Well-Known	Cafeteria	San Diego	$	70-90	Suburbs	Salad bar only	34638
Well-Known	Banquet	San Francisco	$$$	10-15	Downtown	15+	80888
Developed	Cafeteria	Sacramento	$	<10	Downtown	10-15	28351
Developed	Full Service Restaurant	Sacramento	$$$$$	70-90	Suburbs	Salad & Sandwich only	73773
Recent	Cafeteria	San Francisco	$	50-70	Downtown	15+	105009
Well-Known	Banquet	Los Angeles	$$$$$	20-30	Suburbs	7-10	137286
Developed	Cafeteria	Los Angeles	$$$$	10-15	Downtown	Salad & Sandwich only	82953
Developed	Banquet	San Francisco	$$$	15-20	Downtown	7-10	119951
Developed	Full Service Restaurant	Sacramento	$	90-100	Suburbs	10-15	111757
Well-Known	Banquet	Sacramento	$$$	90-100	Downtown	15+	114844
Developed	Cafeteria	San Diego	$$$$$	No seat	Downtown	< 5	79066
Recent	Cafeteria	San Diego	$$	50-70	Suburbs	< 5	44429
Developed	Banquet	Los Angeles	$$	20-30	Downtown	5-7	98012
Developed	Full Service Restaurant	San Diego	$$$$$	50-70	Downtown	Salad & Sandwich only	114035
Well-Known	Banquet	Los Angeles	$$$$$	20-30	Suburbs	Salad bar only	99834
Developed	Full Service Restaurant	San Diego	$$	15-20	Downtown	10-15	101484
Developed	Full Service Restaurant	Sacramento	$	<10	Suburbs	10-15	75771
Well-Known	Full Service Restaurant	Los Angeles	$$$$	15-20	Downtown	Salad bar only	98721
Developed	Full Service Restaurant	Los Angeles	$$$$$	30-50	Suburbs	10-15	127482
Recent	Cafeteria	Sacramento	$$$$	10-15	Downtown	Salad & Sandwich only	68308
Developed	Banquet	San Diego	$$$$	No seat	Suburbs	7-10	64988
Recent	Full Service Restaurant	Los Angeles	$$$	100+	Suburbs	10-15	109229
Developed	Full Service Restaurant	San Diego	$$$	20-30	Suburbs	10-15	116183
